,ID,Wire,Substrate Type,Feed Rate,PrintCount,Asymmetry
0,1,SuperArc LA-90,4140,205,0,0.1550021088835106
1,2,SuperArc LA-90,4140,205,1,0.16974394664708617
2,3,SuperArc LA-90,4140,210,2,0.04739365603907309
3,4,SuperArc LA-90,4140,235,3,0.02830708291268636
4,5,SuperArc LA-90,4140,240,4,0.06658511648943517
5,6,SuperArc LA-90,4140,245,5,0.06450063687341757
6,7,SuperArc LA-90,4140,250,6,0.08607835707066205
7,8,SuperArc LA-90,4140,250,7,0.053792966486518455
8,9,SuperArc LA-90,4140,255,8,0.016269186899107037
9,10,SuperArc LA-90,4140,255,9,0.014759339594016709
10,11,SuperArc LA-90,4140,265,10,0.10823386337664413
11,12,SuperArc LA-90,4140,280,11,0.020356275973696294
12,13,SuperArc LA-90,4140,285,12,0.08192242691122922
13,14,SuperArc LA-90,4140,295,13,0.05324732519573796
14,15,SuperArc LA-90,4140,310,14,0.04901526100838497
15,16,SuperArc LA-90,4140,310,15,0.022506356660404053
16,17,SuperArc LA-90,4140,315,16,0.020677928703399538
17,18,SuperArc LA-90,4140,330,17,0.07438158575121243
18,19,SuperArc LA-90,4140,340,18,0.046037090201913426
19,20,SuperArc LA-90,4140,345,19,0.1065693780818057
20,21,SuperArc LA-90,4140,345,20,0.015181181024454659
21,22,SuperArc LA-90,4140,355,21,0.09763638330062223
22,23,SuperArc LA-90,4140,360,22,0.04665899541009651
23,24,SuperArc LA-90,4140,370,23,0.02922769286724237
24,25,SuperArc LA-90,4140,390,24,0.02454907520657913
25,26,SuperArc LA-90,4140,390,25,0.09549390557959068
26,27,SuperArc LA-90,4140,395,26,0.04910277968566414
27,28,SuperArc LA-90,4140,395,27,0.09855214175180653
28,29,SuperArc LA-90,4140,400,28,0.037508392777592665
29,30,SuperArc LA-90,Low Carbon,205,0,0.042792321722194264
30,31,SuperArc LA-90,Low Carbon,210,1,0.059281314418749585
31,32,SuperArc LA-90,Low Carbon,220,2,0.22135545689591096
32,33,SuperArc LA-90,Low Carbon,230,3,0.1755662464154541
33,34,SuperArc LA-90,Low Carbon,240,4,0.09313277918626288
34,35,SuperArc LA-90,Low Carbon,250,5,0.13805300087136171
35,36,SuperArc LA-90,Low Carbon,250,6,0.04565704552050368
36,37,SuperArc LA-90,Low Carbon,260,7,0.049936666421561283
37,38,SuperArc LA-90,Low Carbon,265,8,0.09390287574787845
38,39,SuperArc LA-90,Low Carbon,270,9,0.15027279477031608
39,40,SuperArc LA-90,Low Carbon,275,10,0.16777803107258965
40,41,SuperArc LA-90,Low Carbon,285,11,0.027942599071160396
41,42,SuperArc LA-90,Low Carbon,285,12,0.043541300536649306
42,43,SuperArc LA-90,Low Carbon,295,13,0.012929517620838455
43,44,SuperArc LA-90,Low Carbon,300,14,0.023407325579149676
44,45,SuperArc LA-90,Low Carbon,300,15,0.018362742494334557
45,46,SuperArc LA-90,Low Carbon,320,16,0.07035637194057158
46,47,SuperArc LA-90,Low Carbon,325,17,0.029370529368454672
47,48,SuperArc LA-90,Low Carbon,340,18,0.019382492991189836
48,49,SuperArc LA-90,Low Carbon,340,19,0.03340862289723265
49,50,SuperArc LA-90,Low Carbon,340,20,0.03276350513903806
50,51,SuperArc LA-90,Low Carbon,350,21,0.024126859398537773
51,52,SuperArc LA-90,Low Carbon,355,22,0.018840812876900696
52,53,SuperArc LA-90,Low Carbon,365,23,0.02628687289244633
53,54,SuperArc LA-90,Low Carbon,370,24,0.025249020138258117
54,55,SuperArc LA-90,Low Carbon,370,25,0.041486597738077446
55,56,SuperArc LA-90,Low Carbon,375,26,0.03136500234967292
56,57,SuperArc LA-90,Low Carbon,385,27,0.07853390696727612
57,58,SuperArc LA-90,Low Carbon,400,28,0.04991792834524019
58,59,SuperArc LA-90,304 SS,215,0,0.030392519187792438
59,60,SuperArc LA-90,304 SS,225,1,0.04985920462256633
60,61,SuperArc LA-90,304 SS,225,2,0.02321371834516503
61,62,SuperArc LA-90,304 SS,230,3,0.04407133388659437
62,63,SuperArc LA-90,304 SS,235,4,0.047848958824799476
63,64,SuperArc LA-90,304 SS,240,5,0.05266416699416779
64,65,SuperArc LA-90,304 SS,250,6,0.01972917431771334
65,66,SuperArc LA-90,304 SS,250,7,0.1009236131756077
66,67,SuperArc LA-90,304 SS,260,8,0.0276197263237517
67,68,SuperArc LA-90,304 SS,265,9,0.010676510601891884
68,69,SuperArc LA-90,304 SS,285,10,0.08712644429748685
69,70,SuperArc LA-90,304 SS,295,11,0.02902572072197333
70,71,SuperArc LA-90,304 SS,295,12,0.020507236775946455
71,72,SuperArc LA-90,304 SS,300,13,0.025698930012014447
72,73,SuperArc LA-90,304 SS,310,14,0.024746561478752694
73,74,SuperArc LA-90,304 SS,315,15,0.031136498534193525
74,75,SuperArc LA-90,304 SS,320,16,0.01630694529511035
75,76,SuperArc LA-90,304 SS,330,17,0.03390689967664307
76,77,SuperArc LA-90,304 SS,340,18,0.030290371603405208
77,78,SuperArc LA-90,304 SS,340,19,0.025950611346941946
78,79,SuperArc LA-90,304 SS,350,20,0.08489348096442859
79,80,SuperArc LA-90,304 SS,350,21,0.0381161488778625
80,81,SuperArc LA-90,304 SS,355,22,0.016782770091270036
81,82,SuperArc LA-90,304 SS,365,23,0.02846268917315774
82,83,SuperArc LA-90,304 SS,365,24,0.022955051996991434
83,84,SuperArc LA-90,304 SS,370,25,0.06849011883950898
